Config_ID,State_ID,Agent,Sims,Threads,Chosen_Move_Idx,Oracle_Score,Time_Ms
39,1,Root,2000,8,229,0.5329,10.0870
39,2,Root,2000,8,145,0.7605,14.3444
39,3,Root,2000,8,206,0.7143,17.2757
39,4,Root,2000,8,49,0.2478,10.2155
39,5,Root,2000,8,23,0.7407,13.0395
39,6,Root,2000,8,77,0.4737,12.1468
39,7,Root,2000,8,54,0.4313,13.2840
39,8,Root,2000,8,206,0.3065,12.9409
39,9,Root,2000,8,48,0.4841,16.0049
40,0,LockFree,2000,2,115,0.7451,22.5498
40,1,LockFree,2000,2,258,0.6579,25.6523
40,2,LockFree,2000,2,69,0.3713,28.4691
40,3,LockFree,2000,2,185,0.7571,29.2777
40,4,LockFree,2000,2,233,0.3540,32.5092
40,5,LockFree,2000,2,63,0.6444,28.6101
40,6,LockFree,2000,2,180,0.4737,24.9969
40,7,LockFree,2000,2,217,0.5312,28.4585
40,8,LockFree,2000,2,173,0.6080,25.2208
40,9,LockFree,2000,2,213,0.5924,27.1982
41,0,LockFree,2000,4,145,0.4379,11.7912
41,1,LockFree,2000,4,138,0.6513,12.3604
41,2,LockFree,2000,4,208,0.5150,13.7970
41,3,LockFree,2000,4,138,0.5214,14.1421
41,4,LockFree,2000,4,125,0.1858,12.4687
41,5,LockFree,2000,4,38,0.8296,13.0304
41,6,LockFree,2000,4,206,0.4934,11.9948
41,7,LockFree,2000,4,256,0.6937,13.5206
41,8,LockFree,2000,4,103,0.3618,12.1322
41,9,LockFree,2000,4,74,0.4841,14.0347
42,0,LockFree,2000,8,44,0.6536,9.7581
42,1,LockFree,2000,8,178,0.6250,11.9138
42,2,LockFree,2000,8,207,0.3892,13.6504
42,3,LockFree,2000,8,126,0.7357,11.8294
42,4,LockFree,2000,8,29,0.8805,9.7144
42,5,LockFree,2000,8,47,0.6889,13.0809
42,6,LockFree,2000,8,199,0.9737,10.0397
42,7,LockFree,2000,8,86,0.5375,12.9358
42,8,LockFree,2000,8,95,0.4472,11.8665
42,9,LockFree,2000,8,108,0.5223,19.4345
43,0,VirtualLoss,2000,2,40,0.7451,26.1468
43,1,VirtualLoss,2000,2,73,0.6316,25.4954
43,2,VirtualLoss,2000,2,133,0.4012,29.3385
43,3,VirtualLoss,2000,2,251,0.7357,27.6887
43,4,VirtualLoss,2000,2,29,0.8805,24.8479
43,5,VirtualLoss,2000,2,94,0.6148,26.5400
43,6,VirtualLoss,2000,2,160,0.7632,24.8590
43,7,VirtualLoss,2000,2,46,0.7000,28.1228
43,8,VirtualLoss,2000,2,57,0.5377,22.9199
43,9,VirtualLoss,2000,2,62,0.8726,26.5089
44,0,VirtualLoss,2000,4,99,0.5359,16.7321
44,1,VirtualLoss,2000,4,64,0.6579,17.3356
44,2,VirtualLoss,2000,4,100,0.6766,18.0245
44,3,VirtualLoss,2000,4,53,0.7500,16.3517
44,4,VirtualLoss,2000,4,127,1.0000,12.4872
44,5,VirtualLoss,2000,4,79,0.5333,13.5044
44,6,VirtualLoss,2000,4,38,0.6053,12.5125
44,7,VirtualLoss,2000,4,64,0.5750,14.5308
44,8,VirtualLoss,2000,4,107,0.4472,11.9505
44,9,VirtualLoss,2000,4,195,0.4395,13.5744
45,0,VirtualLoss,2000,8,35,0.5882,13.7266
45,1,VirtualLoss,2000,8,164,1.0000,12.7022
45,2,VirtualLoss,2000,8,173,0.6707,15.3608
45,3,VirtualLoss,2000,8,94,0.8500,13.1902
45,4,VirtualLoss,2000,8,29,0.8805,12.8305
45,5,VirtualLoss,2000,8,47,0.6889,15.2148
45,6,VirtualLoss,2000,8,117,0.5592,15.1920
45,7,VirtualLoss,2000,8,79,0.6438,13.6055
45,8,VirtualLoss,2000,8,69,0.3618,10.0671
45,9,VirtualLoss,2000,8,95,0.6306,12.6984
46,0,WuUct,2000,2,100,0.4379,23.3183
46,1,WuUct,2000,2,247,0.6118,24.1188
46,2,WuUct,2000,2,110,0.4671,25.0653
46,3,WuUct,2000,2,162,0.5786,25.5110
46,4,WuUct,2000,2,41,0.3894,24.7731
46,5,WuUct,2000,2,109,0.9333,26.9079
46,6,WuUct,2000,2,55,0.5395,23.3718
46,7,WuUct,2000,2,148,0.4625,26.7865
46,8,WuUct,2000,2,95,0.4472,22.9318
46,9,WuUct,2000,2,156,0.4140,25.6519
47,0,WuUct,2000,4,128,0.5033,13.2583
47,1,WuUct,2000,4,166,0.3487,11.8952
47,2,WuUct,2000,4,89,0.9341,12.0656
47,3,WuUct,2000,4,164,0.7071,12.5744
47,4,WuUct,2000,4,25,0.3540,12.1458
47,5,WuUct,2000,4,205,0.5926,12.9635
47,6,WuUct,2000,4,44,0.5000,11.8033
47,7,WuUct,2000,4,244,0.5875,14.0346
47,8,WuUct,2000,4,45,0.5075,11.4944
47,9,WuUct,2000,4,126,0.7580,12.7520
48,0,WuUct,2000,8,37,0.6732,15.5324
48,1,WuUct,2000,8,223,0.5395,19.0078
48,2,WuUct,2000,8,32,0.3892,14.5441
48,3,WuUct,2000,8,126,0.7357,10.4405
48,4,WuUct,2000,8,127,1.0000,9.8459
48,5,WuUct,2000,8,177,0.5333,10.2053
48,6,WuUct,2000,8,88,0.5724,11.0138
48,7,WuUct,2000,8,30,0.3375,13.1236
48,8,WuUct,2000,8,222,0.4472,9.7065
48,9,WuUct,2000,8,177,0.2930,11.1923
